"from","to","length","directed"
"M1","M255",1,FALSE
"M2","M6",1,FALSE
"M3","M10",1,FALSE
"M5","M10",1,FALSE
"M7","M11",1,FALSE
"M2","M256",1,FALSE
"M7","M256",1,FALSE
"M3","M257",1,FALSE
"M11","M257",1,FALSE
"M4","M258",1,FALSE
"M8","M258",1,FALSE
"M5","M259",1,FALSE
"M9","M259",1,FALSE
"M6","M260",1,FALSE
"M8","M261",1,FALSE
"M9","M261",1,FALSE
"M15","M16",1,FALSE
"M17","M19",1,FALSE
"M18","M19",1,FALSE
"M16","M20",1,FALSE
"M14","M21",1,FALSE
"M12","M262",1,FALSE
"M13","M262",1,FALSE
"M13","M263",1,FALSE
"M17","M263",1,FALSE
"M14","M264",1,FALSE
"M23","M264",1,FALSE
"M15","M265",1,FALSE
"M18","M265",1,FALSE
"M20","M266",1,FALSE
"M22","M266",1,FALSE
"M21","M267",1,FALSE
"M22","M267",1,FALSE
"M23","M268",1,FALSE
"M27","M28",1,FALSE
"M28","M30",1,FALSE
"M26","M32",1,FALSE
"M29","M34",1,FALSE
"M24","M36",1,FALSE
"M36","M37",1,FALSE
"M31","M38",1,FALSE
"M32","M38",1,FALSE
"M30","M40",1,FALSE
"M24","M269",1,FALSE
"M35","M269",1,FALSE
"M25","M270",1,FALSE
"M27","M270",1,FALSE
"M25","M271",1,FALSE
"M34","M271",1,FALSE
"M26","M272",1,FALSE
"M37","M272",1,FALSE
"M29","M273",1,FALSE
"M33","M273",1,FALSE
"M31","M274",1,FALSE
"M40","M274",1,FALSE
"M33","M275",1,FALSE
"M35","M276",1,FALSE
"M39","M276",1,FALSE
"M39","M277",1,FALSE
"M42","M46",1,FALSE
"M47","M48",1,FALSE
"M49","M51",1,FALSE
"M52","M53",1,FALSE
"M45","M54",1,FALSE
"M55","M57",1,FALSE
"M57","M58",1,FALSE
"M41","M278",1,FALSE
"M44","M278",1,FALSE
"M41","M279",1,FALSE
"M43","M279",1,FALSE
"M42","M280",1,FALSE
"M47","M280",1,FALSE
"M43","M281",1,FALSE
"M46","M281",1,FALSE
"M44","M282",1,FALSE
"M50","M282",1,FALSE
"M45","M283",1,FALSE
"M49","M283",1,FALSE
"M48","M284",1,FALSE
"M58","M284",1,FALSE
"M50","M285",1,FALSE
"M51","M285",1,FALSE
"M52","M286",1,FALSE
"M56","M286",1,FALSE
"M53","M287",1,FALSE
"M55","M287",1,FALSE
"M54","M288",1,FALSE
"M56","M289",1,FALSE
"M59","M60",1,FALSE
"M60","M61",1,FALSE
"M62","M65",1,FALSE
"M65","M68",1,FALSE
"M67","M69",1,FALSE
"M61","M71",1,FALSE
"M63","M73",1,FALSE
"M68","M73",1,FALSE
"M69","M74",1,FALSE
"M70","M74",1,FALSE
"M59","M290",1,FALSE
"M66","M290",1,FALSE
"M62","M291",1,FALSE
"M64","M291",1,FALSE
"M63","M292",1,FALSE
"M66","M292",1,FALSE
"M67","M293",1,FALSE
"M72","M293",1,FALSE
"M70","M294",1,FALSE
"M71","M294",1,FALSE
"M72","M295",1,FALSE
"M79","M82",1,FALSE
"M80","M89",1,FALSE
"M82","M91",1,FALSE
"M81","M92",1,FALSE
"M89","M92",1,FALSE
"M77","M95",1,FALSE
"M90","M96",1,FALSE
"M95","M96",1,FALSE
"M93","M97",1,FALSE
"M78","M98",1,FALSE
"M75","M296",1,FALSE
"M83","M296",1,FALSE
"M76","M297",1,FALSE
"M86","M297",1,FALSE
"M76","M298",1,FALSE
"M84","M298",1,FALSE
"M77","M299",1,FALSE
"M87","M299",1,FALSE
"M78","M300",1,FALSE
"M81","M300",1,FALSE
"M79","M301",1,FALSE
"M93","M301",1,FALSE
"M80","M302",1,FALSE
"M91","M302",1,FALSE
"M83","M303",1,FALSE
"M87","M303",1,FALSE
"M84","M304",1,FALSE
"M88","M304",1,FALSE
"M94","M304",1,FALSE
"M85","M305",1,FALSE
"M88","M305",1,FALSE
"M85","M306",1,FALSE
"M86","M307",1,FALSE
"M98","M307",1,FALSE
"M90","M308",1,FALSE
"M97","M308",1,FALSE
"M99","M100",1,FALSE
"M100","M101",1,FALSE
"M101","M102",1,FALSE
"M103","M105",1,FALSE
"M104","M105",1,FALSE
"M102","M108",1,FALSE
"M99","M309",1,FALSE
"M106","M309",1,FALSE
"M103","M310",1,FALSE
"M109","M310",1,FALSE
"M104","M311",1,FALSE
"M106","M312",1,FALSE
"M107","M312",1,FALSE
"M108","M313",1,FALSE
"M109","M313",1,FALSE
"M109","M314",1,FALSE
"M110","M314",1,FALSE
"M110","M315",1,FALSE
"M114","M119",1,FALSE
"M116","M120",1,FALSE
"M112","M122",1,FALSE
"M118","M123",1,FALSE
"M115","M128",1,FALSE
"M123","M128",1,FALSE
"M111","M129",1,FALSE
"M132","M133",1,FALSE
"M133","M135",1,FALSE
"M131","M140",1,FALSE
"M130","M141",1,FALSE
"M134","M141",1,FALSE
"M126","M142",1,FALSE
"M139","M142",1,FALSE
"M136","M143",1,FALSE
"M140","M143",1,FALSE
"M111","M316",1,FALSE
"M112","M316",1,FALSE
"M113","M317",1,FALSE
"M123","M317",1,FALSE
"M113","M318",1,FALSE
"M120","M318",1,FALSE
"M114","M319",1,FALSE
"M125","M319",1,FALSE
"M115","M320",1,FALSE
"M127","M320",1,FALSE
"M116","M321",1,FALSE
"M119","M321",1,FALSE
"M117","M322",1,FALSE
"M118","M322",1,FALSE
"M121","M323",1,FALSE
"M127","M323",1,FALSE
"M121","M324",1,FALSE
"M124","M324",1,FALSE
"M122","M325",1,FALSE
"M125","M325",1,FALSE
"M124","M326",1,FALSE
"M125","M326",1,FALSE
"M126","M327",1,FALSE
"M129","M327",1,FALSE
"M130","M328",1,FALSE
"M137","M328",1,FALSE
"M131","M329",1,FALSE
"M144","M329",1,FALSE
"M132","M330",1,FALSE
"M138","M330",1,FALSE
"M134","M331",1,FALSE
"M139","M331",1,FALSE
"M135","M332",1,FALSE
"M137","M332",1,FALSE
"M136","M333",1,FALSE
"M138","M333",1,FALSE
"M144","M334",1,FALSE
"M146","M147",1,FALSE
"M150","M152",1,FALSE
"M153","M154",1,FALSE
"M149","M155",1,FALSE
"M147","M159",1,FALSE
"M156","M160",1,FALSE
"M154","M161",1,FALSE
"M155","M161",1,FALSE
"M152","M162",1,FALSE
"M158","M162",1,FALSE
"M145","M335",1,FALSE
"M151","M335",1,FALSE
"M158","M335",1,FALSE
"M145","M336",1,FALSE
"M148","M336",1,FALSE
"M146","M337",1,FALSE
"M151","M337",1,FALSE
"M148","M338",1,FALSE
"M153","M338",1,FALSE
"M149","M339",1,FALSE
"M150","M339",1,FALSE
"M156","M340",1,FALSE
"M159","M340",1,FALSE
"M157","M341",1,FALSE
"M159","M341",1,FALSE
"M160","M342",1,FALSE
"M162","M342",1,FALSE
"M161","M343",1,FALSE
"M163","M343",1,FALSE
"M165","M166",1,FALSE
"M166","M169",1,FALSE
"M164","M170",1,FALSE
"M168","M172",1,FALSE
"M171","M173",1,FALSE
"M169","M176",1,FALSE
"M177","M179",1,FALSE
"M170","M180",1,FALSE
"M178","M180",1,FALSE
"M183","M187",1,FALSE
"M182","M191",1,FALSE
"M184","M192",1,FALSE
"M181","M193",1,FALSE
"M194","M195",1,FALSE
"M193","M197",1,FALSE
"M194","M200",1,FALSE
"M197","M201",1,FALSE
"M199","M203",1,FALSE
"M198","M204",1,FALSE
"M195","M209",1,FALSE
"M196","M210",1,FALSE
"M204","M210",1,FALSE
"M207","M213",1,FALSE
"M206","M214",1,FALSE
"M211","M214",1,FALSE
"M208","M216",1,FALSE
"M212","M216",1,FALSE
"M188","M218",1,FALSE
"M205","M219",1,FALSE
"M164","M344",1,FALSE
"M171","M344",1,FALSE
"M165","M345",1,FALSE
"M167","M345",1,FALSE
"M167","M346",1,FALSE
"M168","M346",1,FALSE
"M168","M347",1,FALSE
"M177","M347",1,FALSE
"M172","M348",1,FALSE
"M183","M348",1,FALSE
"M173","M349",1,FALSE
"M176","M349",1,FALSE
"M174","M350",1,FALSE
"M179","M350",1,FALSE
"M174","M351",1,FALSE
"M175","M351",1,FALSE
"M178","M352",1,FALSE
"M181","M352",1,FALSE
"M182","M353",1,FALSE
"M187","M353",1,FALSE
"M184","M354",1,FALSE
"M185","M354",1,FALSE
"M185","M355",1,FALSE
"M186","M356",1,FALSE
"M190","M356",1,FALSE
"M186","M357",1,FALSE
"M189","M357",1,FALSE
"M188","M358",1,FALSE
"M192","M358",1,FALSE
"M189","M359",1,FALSE
"M218","M359",1,FALSE
"M191","M360",1,FALSE
"M218","M360",1,FALSE
"M194","M361",1,FALSE
"M217","M361",1,FALSE
"M196","M362",1,FALSE
"M202","M362",1,FALSE
"M198","M363",1,FALSE
"M200","M363",1,FALSE
"M199","M364",1,FALSE
"M209","M364",1,FALSE
"M201","M365",1,FALSE
"M202","M365",1,FALSE
"M203","M366",1,FALSE
"M206","M366",1,FALSE
"M205","M367",1,FALSE
"M211","M367",1,FALSE
"M207","M368",1,FALSE
"M220","M368",1,FALSE
"M208","M369",1,FALSE
"M215","M369",1,FALSE
"M212","M370",1,FALSE
"M219","M370",1,FALSE
"M213","M371",1,FALSE
"M215","M371",1,FALSE
"M217","M372",1,FALSE
"M220","M372",1,FALSE
"M222","M224",1,FALSE
"M223","M224",1,FALSE
"M221","M225",1,FALSE
"M226","M227",1,FALSE
"M227","M229",1,FALSE
"M230","M231",1,FALSE
"M228","M232",1,FALSE
"M232","M236",1,FALSE
"M234","M237",1,FALSE
"M238","M240",1,FALSE
"M242","M244",1,FALSE
"M237","M245",1,FALSE
"M246","M247",1,FALSE
"M225","M249",1,FALSE
"M250","M251",1,FALSE
"M247","M252",1,FALSE
"M236","M254",1,FALSE
"M221","M373",1,FALSE
"M222","M373",1,FALSE
"M223","M374",1,FALSE
"M226","M375",1,FALSE
"M228","M375",1,FALSE
"M229","M376",1,FALSE
"M231","M376",1,FALSE
"M230","M377",1,FALSE
"M233","M377",1,FALSE
"M234","M378",1,FALSE
"M239","M378",1,FALSE
"M235","M379",1,FALSE
"M253","M379",1,FALSE
"M235","M380",1,FALSE
"M248","M380",1,FALSE
"M238","M381",1,FALSE
"M241","M381",1,FALSE
"M240","M382",1,FALSE
"M254","M382",1,FALSE
"M241","M383",1,FALSE
"M246","M383",1,FALSE
"M248","M383",1,FALSE
"M242","M384",1,FALSE
"M243","M384",1,FALSE
"M243","M385",1,FALSE
"M251","M385",1,FALSE
"M244","M386",1,FALSE
"M253","M386",1,FALSE
"M245","M387",1,FALSE
"M250","M387",1,FALSE
"M249","M388",1,FALSE
"M252","M388",1,FALSE
